#Turbomolekularpumpe Leckratenmessung p_G = 1*10^-4 mbar
#t[s]	p_1[10^-3 mbar]	p_2[10^-3 mbar]	p_3[10^-3 mbar]
0       0.1     0.1     0.1
10      0.360   0.358   0.388
20      0.592   0.655   0.618
30      1.01    1.02    1.01
40      1.42    1.43    1.48
50      1.88    1.89    1.90
60      2.53    2.50    2.56
70      3.19    3.17    3.17
80      3.80    3.74    3.76
90      4.62    4.49    4.62
100     5.18    5.14    5.16
110     5.71    5.60    5.58
120     6.40    6.24    6.20
