#Turbomolekularpumpe Leckratenmessung p_G = 7*10^-5 mbar
#t[s]	p_1[10^-3 mbar]	p_2[10^-3 mbar]	p_3[10^-3 mbar]
0       0.07    0.07    0.07
10      0.209   0.220   0.232
20      0.323   0.328   0.347
30      0.442   0.453   0.468
40      0.551   0.567   0.602
50      0.591   0.745   0.797
60      0.881   0.934   1.01
70      1.12    1.17    1.26
80      1.31    1.39    1.46
90      1.50    1.62    1.70
100     1.76    1.84    1.95
110     1.97    2.08    2.24
120     2.26    2.43    2.56
