# t[min]    T [celsius]     I [10^-11 Ampere]
1           -72.0           0.21
2           -70.0           0.21
3           -68.3           0.23
4           -66.5           0.11
5           -64.9           0.11
6           -63.1           -0.015
7           -60.8           -0.12
8           -59.4           -0.12
9           -58.1           -0.012
10          -56.1           -0.012
11          -54.2           -0.013
12          -51.9           -0.014
13          -49.6           0.05
14          -48.0           0.06
15          -46.3           0.075
16          -44.5           0.125
17          -42.6           0.075
18          -40.3           0.14
19          -38.0           0.09
20          -36.0           0.095
21          -34.0           0.125
22          -31.7           0.186
23          -29.5           0.26
24          -27.7           0.35
25          -25.9           0.44
26          -24.0           0.55
27          -22.4           0.65
28          -20.9           0.75
29          -19.5           0.85
30          -17.7           0.92
31          -16.0           1.05
32          -13.8           1.02
33          -12.0           1.01
34          -10.2           1.0
35          -8.3            0.85
36          -6.4            0.7
37          -4.7            0.6
38          -3.1            0.5
39          -1.3            0.5
40          0.3             0.45
41          2.0             0.4
42          4.0             0.45
43          6.0             0.5
44          7.8             0.456
45          9.6             0.5
46          11.3            0.55
47          13.2            0.6
48          15.2            0.65
49          16.8            0.75
50          18.6            0.84
51          20.4            0.95
52          22.5            1.1
53          24.2            1.3
54          26.2            1.5
55          28.0            1.65
56          30.0            2.0
57          31.6            2.15
58          33.9            2.5
59          36.0            2.9
60          38.3            3.2
61          40.3            3.4
62          42.5            3.5
63          44.8            3.5
64          47.0            3.2
65          49.1            2.8
66          51.0            2.4
67          53.1            1.8
68          55.0            1.4
69          57.1            1.15
70          59.0            1.0
71          60.8            0.9

